"day","avg_ltv"
"2007-02-14 00:00:00","4.3233333333333333"
"2007-02-15 00:00:00","5.9994328358208955"
"2007-02-16 00:00:00","7.3300972447325770"
"2007-02-17 00:00:00","8.5841666666666667"
"2007-02-18 00:00:00","9.9846422628951747"
"2007-02-19 00:00:00","11.4152645502645503"
"2007-02-20 00:00:00","12.5921020521353300"
"2007-02-21 00:00:00","13.3534474206349206"
"2007-03-01 00:00:00","15.9246322436849926"
"2007-03-02 00:00:00","18.1263005780346821"
"2007-03-16 00:00:00","18.3397588568026198"
"2007-03-17 00:00:00","20.4051052498097895"
"2007-03-18 00:00:00","22.7752156776877600"
"2007-03-19 00:00:00","25.0771046556367834"
"2007-03-20 00:00:00","27.3313393010845240"
"2007-03-21 00:00:00","29.7926612156741746"
"2007-03-22 00:00:00","32.0766112910038012"
"2007-03-23 00:00:00","34.0956240208877285"
"2007-04-05 00:00:00","34.2853327291558778"
"2007-04-06 00:00:00","35.8843130328867235"
"2007-04-07 00:00:00","37.5415226906242801"
"2007-04-08 00:00:00","39.4707023265927376"
"2007-04-09 00:00:00","41.3037314662273476"
"2007-04-10 00:00:00","42.9661143810084363"
"2007-04-11 00:00:00","44.7181419996248359"
"2007-04-12 00:00:00","46.3360932157639014"
"2007-04-26 00:00:00","46.6361198963637988"
"2007-04-27 00:00:00","48.9660104765123352"
"2007-04-28 00:00:00","51.2879467222980021"
"2007-04-29 00:00:00","53.7559917576127604"
"2007-04-30 00:00:00","58.7806687942278341"
"2007-05-14 00:00:00","59.4089579336804604"
